ERP,PPK.SKU,Order.Date,Category,Key.Item,Pack.Configuration,Style,ppk_ordered_qty,Full.Description,prepack_color,ordered_sku,qty_in_prepack,ordered_qty,unit_color,Ship.City,Ship.Region,Ship.Country,Ship.Zip
#1056,n/a,2019-08-29T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Plymouth,Minnesota,United States,55447
#1057,n/a,2019-08-30T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Summit,New Jersey,United States,7901
#1058,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Santa Rosa Beach,Florida,United States,32459
#1058,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Santa Rosa Beach,Florida,United States,32459
#1058,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Santa Rosa Beach,Florida,United States,32459
#1058,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Santa Rosa Beach,Florida,United States,32459
#1059,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Carlstadt,New Jersey,United States,7072
#1059,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Carlstadt,New Jersey,United States,7072
#1059,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Carlstadt,New Jersey,United States,7072
#1059,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Carlstadt,New Jersey,United States,7072
#1060,n/a,2019-08-31T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Columbus,Ohio,United States,43202
#1061,n/a,2019-09-01T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,2,Crew Green,Tampa,Florida,United States,33604
#1061,n/a,2019-09-01T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,2,Stone,Tampa,Florida,United States,33604
#1061,n/a,2019-09-01T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,2,Paloma,Tampa,Florida,United States,33604
#1061,n/a,2019-09-01T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,2,Citrus,Tampa,Florida,United States,33604
#1062,n/a,2019-09-01T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,6,Stone,Bakersfield,California,United States,93313
#1063,n/a,2019-09-03T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,3,Stone,Portland,Oregon,United States,97205
#1064,n/a,2019-09-03T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,New Orleans,Louisiana,United States,70115
#1064,n/a,2019-09-03T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,New Orleans,Louisiana,United States,70115
#1064,n/a,2019-09-03T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,New Orleans,Louisiana,United States,70115
#1065,n/a,2019-09-03T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Monroe,New York,United States,10950
#1066,n/a,2019-09-04T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Davie,Florida,United States,33314
#1066,n/a,2019-09-04T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,Davie,Florida,United States,33314
#1066,n/a,2019-09-04T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Davie,Florida,United States,33314
#1067,n/a,2019-09-04T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,San Diego,California,United States,92109
#1068,n/a,2019-09-05T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Pittsburgh,Pennsylvania,United States,15205
#1069,n/a,2019-09-05T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,6,Stone,Pacific Grove,California,United States,93950
#1070,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Luxembourg,,Luxembourg,1855
#1071,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Columbus,Ohio,United States,43215
#1071,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Columbus,Ohio,United States,43215
#1071,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Columbus,Ohio,United States,43215
#1072,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,San Jose Del Cabo,Baja California Sur,Mexico,23407
#1072,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,San Jose Del Cabo,Baja California Sur,Mexico,23407
#1073,n/a,2019-09-06T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,6,Paloma,Columbus,Ohio,United States,43205
#1074,n/a,2019-09-07T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Denham Springs,Louisiana,United States,70726
#1075,n/a,2019-09-08T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Miami Beach,Florida,United States,33139
#1076,n/a,2019-09-08T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Sedona,Arizona,United States,86336
#1076,n/a,2019-09-08T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Sedona,Arizona,United States,86336
#1076,n/a,2019-09-08T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,Sedona,Arizona,United States,86336
#1077,n/a,2019-09-09T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Chattanooga,Tennessee,United States,37404
#1078,n/a,2019-09-09T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Flin Flon,Manitoba,Canada,R8A0B
#1079,n/a,2019-09-09T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Las Vegas,Nevada,United States,89103
#1080,n/a,2019-09-10T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,6,Stone,Falls Church,Virginia,United States,22046
#1081,n/a,2019-09-10T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Amesbury,Massachusetts,United States,1913
#1081,n/a,2019-09-10T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,Amesbury,Massachusetts,United States,1913
#1082,n/a,2019-09-10T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,6,Crew Green,Marietta,Georgia,United States,30064
#1083,n/a,2019-09-10T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,San Francisco,California,United States,94102
#1084,n/a,2019-09-12T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Kingersheim,,France,68260
#1084,n/a,2019-09-12T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Kingersheim,,France,68260
#1084,n/a,2019-09-12T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Kingersheim,,France,68260
#1084,n/a,2019-09-12T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Kingersheim,,France,68260
#1085,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,New York,New York,United States,10019
#1085,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,New York,New York,United States,10019
#1086,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,St.charles,Illinois,United States,60174
#1086,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,St.charles,Illinois,United States,60174
#1086,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,St.charles,Illinois,United States,60174
#1087,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Norwalk,California,United States,90650
#1087,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,3,Stone,Norwalk,California,United States,90650
#1087,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,Norwalk,California,United States,90650
#1087,n/a,2019-09-13T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Norwalk,California,United States,90650
#1088,n/a,2019-09-15T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Kirkland,Washington,United States,98034
#1089,n/a,2019-09-16T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Dallas,Texas,United States,75202
#1090,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,New York,New York,United States,10001
#1090,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,New York,New York,United States,10001
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,3,Crew Green,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,3,Stone,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,3,Paloma,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,3,Citrus,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,3,Crew Green,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,3,Stone,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,3,Paloma,Piedmont,California,United States,94611
#1091,n/a,2019-09-17T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,3,Citrus,Piedmont,California,United States,94611
#1092,n/a,2019-09-18T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,4,Paloma,Marietta,Georgia,United States,30064
#1092,n/a,2019-09-18T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,4,Citrus,Marietta,Georgia,United States,30064
#1094,n/a,2019-09-18T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Phoenix,Arizona,United States,85018
#1095,n/a,2019-09-19T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Padova,Padova,Italy,35127
#1096,n/a,2019-09-20T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Sarasota,Florida,United States,34240
#1096,n/a,2019-09-20T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Sarasota,Florida,United States,34240
#1096,n/a,2019-09-20T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Sarasota,Florida,United States,34240
#1097,n/a,2019-09-22T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Sacramento,California,United States,95817
#1097,n/a,2019-09-22T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Sacramento,California,United States,95817
#1097,n/a,2019-09-22T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,Sacramento,California,United States,95817
#1097,n/a,2019-09-22T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Sacramento,California,United States,95817
#1098,n/a,2019-09-22T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Hammond,Louisiana,United States,70403
#1099,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Boston,Massachusetts,United States,2109
#1099,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Boston,Massachusetts,United States,2109
#1099,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,1,Paloma,Boston,Massachusetts,United States,2109
#1099,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Boston,Massachusetts,United States,2109
#1099,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Boston,Massachusetts,United States,2109
#1099,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Boston,Massachusetts,United States,2109
#1100,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Sacramento,California,United States,95835
#1100,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,1,Paloma,Sacramento,California,United States,95835
#1101,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Los Angeles,California,United States,90068
#1102,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Poulsbo,Washington,United States,98370
#1102,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,2,Stone,Poulsbo,Washington,United States,98370
#1102,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,2,Paloma,Poulsbo,Washington,United States,98370
#1102,n/a,2019-09-23T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,1,Citrus,Poulsbo,Washington,United States,98370
#1103,n/a,2019-09-24T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,6,Crew Green,Puteaux,,France,92800
#1104,n/a,2019-09-24T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Mills,Wyoming,United States,82644
#1105,n/a,2019-09-24T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Livermore,California,United States,94550
#1106,n/a,2019-09-24T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,9,Crew Green,Mountainside,New Jersey,United States,7092
#1107,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,2,Stone,Sarasota,Florida,United States,34249
#1107,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,2,Paloma,Sarasota,Florida,United States,34249
#1107,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,2,Citrus,Sarasota,Florida,United States,34249
#1108,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,3,Crew Green,New Orleans,Louisiana,United States,70130
#1109,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,2,Crew Green,Beverly Hills,California,United States,90212
#1109,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,2,Paloma,Beverly Hills,California,United States,90212
#1109,n/a,2019-09-25T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,2,Citrus,Beverly Hills,California,United States,90212
#1110,n/a,2019-09-26T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,3,Crew Green,Dover,Ohio,United States,44622
#1110,n/a,2019-09-26T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,3,Stone,Dover,Ohio,United States,44622
#1110,n/a,2019-09-26T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Paloma,,13702150,,3,Paloma,Dover,Ohio,United States,44622
#1110,n/a,2019-09-26T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,3,Citrus,Dover,Ohio,United States,44622
#1111,n/a,2019-09-26T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Burbank,California,United States,91506
#1111,n/a,2019-09-26T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Burbank,California,United States,91506
#1112,n/a,2019-09-27T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Stone,,13702020,,1,Stone,Alpharetta,Georgia,United States,30009
#1112,n/a,2019-09-27T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Alpharetta,Georgia,United States,30009
#1116,n/a,2019-09-28T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Newark,California,United States,94560
#1116,n/a,2019-09-28T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Newark,California,United States,94560
#1117,n/a,2019-09-28T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Madison,Wisconsin,United States,53703
#1118,n/a,2019-09-30T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,2,Crew Green,Beverly Hills,California,United States,90212
#1118,n/a,2019-09-30T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Paloma,,13702050,,2,Paloma,Beverly Hills,California,United States,90212
#1118,n/a,2019-09-30T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Citrus,,13702052,,2,Citrus,Beverly Hills,California,United States,90212
#1119,n/a,2019-09-30T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,12,Stone,Columbiana,Ohio,United States,44408
#1120,n/a,2019-10-01T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Abingdon,Virginia,United States,24210
#1121,n/a,2019-10-02T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Crew Green,,13702111,,1,Crew Green,Nashville,Tennessee,United States,37206
#1121,n/a,2019-10-02T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Nashville,Tennessee,United States,37206
#1121,n/a,2019-10-02T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Citrus,,13702152,,1,Citrus,Nashville,Tennessee,United States,37206
#1122,n/a,2019-10-02T00:00:00Z,Ecomm,Crew Bottle,Single,Classic,,Crew Bottle - Single - Classic / Crew Green,,13702011,,1,Crew Green,Sheboygan,Wisconsin,United States,53083
#1122,n/a,2019-10-02T00:00:00Z,Ecomm,Crew Bottle,Single,Crafty,,Crew Bottle - Single - Crafty / Stone,,13702120,,1,Stone,Sheboygan,Wisconsin,United States,53083
